id,paras
AC121_Dport_f_ddmmyy,15
AC186_Dport_f_130923,16
AC195_Ddah_f_130923,8
AC199_Ddah_f_130923,86
AC200_Ddah_f_130923,70
AC206_Dport_m_140923,5
AC220_Dport_f_140923,38
AC223_Dport_f_140923,52
AC229_Dport_f_140923,5
AC235_Ddah_f_140923,32
AC241_Ddah_f_140923,35
AC244_HybDportDdah_f_150923,30
AC246_Dport_m_150923,3
AC250_HybDportDdah_f_150923,11
AC251_HybDportDdah_f_150923,54
AC253_Darm_f_150923,52
AC256_Darm_f_150923,67
AC258_Darm_f_150923,49
AC259_Darm_f_150923,7
AC27_Dport_m_280523,86
AC34_Ddah_f_dd0523,239
AC41_Ddah_f_dd0523,43
AC43_Ddah_f_dd0523,99
AC47_Ddah_f_dd0523,2
AC48_Ddah_f_dd0543,3
AC53_Dport_m_dd0523,10
AC55_Dport_f_dd0523,11
AC56_Darm_f_dd0523,10
AC57_Darm_f_dd0523,143
AC58_Darm_f_dd0523,6
AC60_Darm_f_dd0523,213
AC61_Darm_f_dd0623,90
AC64_Darm_f_dd0523,21
AC65_Darm_f_dd0623,13
AC66_Darm_f_dd0623,164
AC67_Darm_f_dd0623,33
AC74_Dport_f_dd0523,51
ACN1341_Dport_f_dd0523,4
ACN1342_Dport_f_dd0523,8
ACN1343_Dport_f_dd0523,7
ACN1354_Dport_f_dd0523,13
ASH1000_Dval_f_dd0623,6
ASH143_Dval_m_240523,5
ASH424_Darm_f_dd0623,5
ASH51_Dval_f_240523,8
ASH51_Dval_f_dd0623,12
ASH552_Darm_f_dd0623,4
