,tp,fp,fn,conf
0,<class 'int'>,<class 'int'>,<class 'int'>,<class 'int'>
1,2181,8382,101,0.0
2,2180,920,102,0.01
3,2178,764,104,0.02
4,2175,689,107,0.03
5,2174,630,108,0.04
6,2173,597,109,0.05
7,2171,563,111,0.06
8,2169,538,113,0.07
9,2168,519,114,0.08
10,2168,493,114,0.09
11,2168,481,114,0.1
12,2168,463,114,0.11
13,2168,451,114,0.12
14,2167,437,115,0.13
15,2166,429,116,0.14
16,2164,412,118,0.15
17,2160,399,122,0.16
18,2159,385,123,0.17
19,2157,379,125,0.18
20,2154,366,128,0.19
21,2154,361,128,0.2
22,2153,357,129,0.21
23,2152,348,130,0.22
24,2151,342,131,0.23
25,2149,340,133,0.24
26,2149,335,133,0.25
27,2149,332,133,0.26
28,2147,326,135,0.27
29,2146,322,136,0.28
30,2146,318,136,0.29
31,2145,309,137,0.3
32,2143,304,139,0.31
33,2143,300,139,0.32
34,2143,294,139,0.33
35,2143,289,139,0.34
36,2143,280,139,0.35
37,2142,272,140,0.36
38,2139,263,143,0.37
39,2137,263,145,0.38
40,2136,261,146,0.39
41,2134,253,148,0.4
42,2134,245,148,0.41
43,2133,238,149,0.42
44,2133,227,149,0.43
45,2131,221,151,0.44
46,2129,215,153,0.45
47,2126,212,156,0.46
48,2124,206,158,0.47
49,2123,202,159,0.48
50,2122,199,160,0.49
51,2119,194,163,0.5
52,2115,191,167,0.51
53,2111,183,171,0.52
54,2109,172,173,0.53
55,2108,168,174,0.54
56,2104,163,178,0.55
57,2099,156,183,0.56
58,2091,150,191,0.57
59,2088,147,194,0.58
60,2084,143,198,0.59
61,2081,136,201,0.6
62,2072,134,210,0.61
63,2070,129,212,0.62
64,2065,125,217,0.63
65,2059,120,223,0.64
66,2051,116,231,0.65
67,2041,111,241,0.66
68,2025,100,257,0.67
69,2014,96,268,0.68
70,2008,92,274,0.69
71,2001,82,281,0.7
72,1989,71,293,0.71
73,1975,64,307,0.72
74,1966,59,316,0.73
75,1954,51,328,0.74
76,1937,46,345,0.75
77,1917,39,365,0.76
78,1898,34,384,0.77
79,1884,32,398,0.78
80,1854,26,428,0.79
81,1820,24,462,0.8
82,1794,18,488,0.81
83,1760,15,522,0.82
84,1709,8,573,0.83
85,1642,5,640,0.84
86,1542,3,740,0.85
87,1438,2,844,0.86
88,1286,2,996,0.87
89,1086,1,1196,0.88
90,817,0,1465,0.89
91,509,0,1773,0.9
92,254,0,2028,0.91
93,120,0,2162,0.92
94,37,0,2245,0.93
95,7,0,2275,0.94
96,2,0,2280,0.95
97,0,0,2282,0.96
98,0,0,2282,0.97
99,0,0,2282,0.98
100,0,0,2282,0.99
101,0,0,2282,1.0
