,tp,fp,fn,conf
0,<class 'int'>,<class 'int'>,<class 'int'>,<class 'int'>
1,828,180672,3,0.0
2,812,1085,19,0.01
3,809,671,22,0.02
4,805,516,26,0.03
5,804,419,27,0.04
6,803,373,28,0.05
7,801,333,30,0.06
8,801,301,30,0.07
9,801,273,30,0.08
10,801,253,30,0.09
11,800,233,31,0.1
12,800,215,31,0.11
13,800,206,31,0.12
14,800,192,31,0.13
15,800,184,31,0.14
16,799,176,32,0.15
17,796,171,35,0.16
18,796,160,35,0.17
19,796,153,35,0.18
20,794,146,37,0.19
21,794,144,37,0.2
22,794,142,37,0.21
23,794,138,37,0.22
24,793,134,38,0.23
25,793,131,38,0.24
26,792,127,39,0.25
27,792,126,39,0.26
28,791,126,40,0.27
29,790,125,41,0.28
30,789,121,42,0.29
31,788,120,43,0.3
32,788,117,43,0.31
33,788,115,43,0.32
34,787,113,44,0.33
35,786,111,45,0.34
36,786,108,45,0.35
37,786,107,45,0.36
38,786,106,45,0.37
39,786,103,45,0.38
40,785,101,46,0.39
41,783,99,48,0.4
42,783,99,48,0.41
43,783,95,48,0.42
44,783,95,48,0.43
45,783,93,48,0.44
46,782,90,49,0.45
47,781,88,50,0.46
48,779,85,52,0.47
49,778,84,53,0.48
50,778,83,53,0.49
51,776,83,55,0.5
52,774,82,57,0.51
53,773,80,58,0.52
54,773,79,58,0.53
55,773,79,58,0.54
56,770,78,61,0.55
57,769,77,62,0.56
58,769,75,62,0.57
59,768,73,63,0.58
60,767,67,64,0.59
61,766,65,65,0.6
62,765,63,66,0.61
63,762,61,69,0.62
64,761,58,70,0.63
65,760,55,71,0.64
66,758,53,73,0.65
67,758,53,73,0.66
68,757,51,74,0.67
69,756,48,75,0.68
70,752,45,79,0.69
71,749,44,82,0.7
72,747,43,84,0.71
73,742,40,89,0.72
74,740,40,91,0.73
75,734,39,97,0.74
76,730,39,101,0.75
77,727,38,104,0.76
78,725,35,106,0.77
79,718,33,113,0.78
80,709,31,122,0.79
81,697,27,134,0.8
82,689,26,142,0.81
83,676,23,155,0.82
84,657,20,174,0.83
85,628,18,203,0.84
86,582,14,249,0.85
87,525,13,306,0.86
88,435,11,396,0.87
89,334,7,497,0.88
90,200,5,631,0.89
91,101,3,730,0.9
92,46,1,785,0.91
93,12,0,819,0.92
94,3,0,828,0.93
95,0,0,831,0.94
96,0,0,831,0.95
97,0,0,831,0.96
98,0,0,831,0.97
99,0,0,831,0.98
100,0,0,831,0.99
101,0,0,831,1.0
