id,RBC,hcRBC,lysRBC
AC100_Ddah_f_ddmmyy,1703,28,102
AC102_Ddah_f_ddmmyy,227,78,32
AC103_Ddah_f_ddmmyy,1034,59,120
AC104_Ddah_f_ddmmyy,1411,38,34
AC111_Dport_m_ddmmyy,326,62,6
AC115_Dport_m_ddmmyy,598,9,602
AC118_Dport_f_ddmmyy,1307,9,20
AC119_Dport_f_ddmmyy,1926,14,8
AC120_Dport_f_ddmmyy,1946,9,10
AC121_Dport_f_ddmmyy,164,122,29
AC124_Dport_f_ddmmyy,1281,42,63
AC125_Dport_f_ddmmyy,2811,14,27
AC12_sp_sex_ddmmyy,1261,37,22
AC132_HybDportDdah_f_ddmmyy,292,3,120
AC133_HybDportDdah_f_ddmmyy,1037,6,7
AC136_Darm_f_ddmmyy,855,10,145
AC137_Darm_f_ddmmyy,2943,22,17
AC138_Darm_f_ddmmyy,2562,40,14
AC13_sp_sex_ddmmyy,849,97,60
AC140_Darm_f_ddmmyy,2060,18,62
AC141_Darm_f_ddmmyy,2032,273,4
AC142_Darm_f_ddmmyy,1186,7,26
AC143_Darm_f_ddmmyy,1269,3,26
AC144_Ddah_f_ddmmyy,1435,66,36
AC14_sp_sex_ddmmyy,1537,63,16
AC15_sp_sex_ddmmyy,3576,99,119
AC16_sp_sex_ddmmyy,953,182,26
AC186_Dport_f_130923,1785,103,14
AC18_sp_sex_ddmmyy,1467,255,22
AC195_Ddah_f_130923,170,13,30
AC199_Ddah_f_130923,2708,110,115
AC19_sp_sex_ddmmyy,1893,47,19
AC1_sp_sex_ddmmyy,3610,367,47
AC200_Ddah_f_130923,1945,134,39
AC202_Dport_m_140923,1056,152,25
AC204_Dport_m_140923,3977,92,17
AC206_Dport_m_140923,1998,72,27
AC207_Dport_m_140923,1113,95,12
AC209_Dport_m_140923,2281,216,38
AC20_sp_sex_ddmmyy,1679,32,46
AC210_Dport_m_140923,3688,409,8
AC211_Dport_m_140923,2437,271,12
AC220_Dport_f_140923,6358,351,5
AC221_Dport_f_14092,1186,326,6
AC222_Dport_f_140923,4252,74,10
AC223_Dport_f_140923,5215,219,2
AC225_Dport_f_140923,1313,21,20
AC227_Dport_f_140923,2745,148,11
AC229_Dport_f_140923,3124,101,4
AC235_Ddah_f_140923,4658,348,11
AC237_Ddah_f_140923,3211,282,2
AC238_Ddah_f_140923,2627,154,7
AC239_Ddah_f_140923,2771,163,15
AC240_Ddah_f_140923,2179,84,415
AC241_Ddah_f_140923,4448,88,9
AC244_HybDportDdah_150923,4337,50,7
AC245_Dport_m_150923,935,48,39
AC246_Dport_m_150923,1063,82,53
AC247_Dport_m_150923,1597,39,11
AC248_Darm_f_150923,2653,30,19
AC249_Darm_f_150923,688,16,30
AC24_Darm_f_280523,960,131,51
AC250_HybDportDdah_f_150923,3843,196,16
AC251_HybDportDdah_f_150923,3664,77,22
AC253_Darm_f_150923,2995,257,125
AC255_Darm_f_190923,1850,235,4
AC256_Darm_f_150923,3453,183,6
AC257_Darm_f_150923,901,252,9
AC258_Darm_f_150923,3129,218,17
AC259_Darm_f_150923,1568,185,26
AC25_Darm_f_280523,3875,235,6
AC260_Darm_f_150923,744,86,45
AC26_Ddah_f_280523,2825,499,10
AC27_Dport_m_280523,3692,81,39
AC29__Ddah_f_280523,830,195,57
AC2_sp_sex_ddmmyy,1513,58,11
AC30_Ddah_f_280523,1468,222,4
AC31_Darm_f_280523,1511,334,18
AC32_Ddah_f_280523,3184,307,616
AC34_Ddah_f_dd0523,1332,73,17
AC35_Ddah_f_ddmmyy,2831,564,20
AC36_Darm_f_ddmmyy,3715,171,8
AC37_Ddah_f_ddmmyy,1264,102,19
AC38_Ddah_f_ddmmyy,757,148,6
AC3_sp_sex_ddmmyy,468,28,26
AC40_Ddah_f_ddmmyy,3021,295,78
AC41_Ddah_f_dd0523,2139,39,6
AC42_Ddah_f_ddmmyy,1963,245,36
AC43_Ddah_f_dd0523,3424,330,15
AC44_Ddah_f_ddmmyy,3854,251,15
AC46_Ddah_f_ddmmyy,1249,210,23
AC47_Ddah_f_dd0523,2199,333,11
AC48_Ddah_f_dd0543,2391,113,23
AC4_sp_sex_ddmmyy,1817,224,70
AC50_Dport_m_ddmmyy,3581,23,5
AC51_Dport_m_ddmmyy,1325,315,12
AC52_Dport_m_ddmmyy,2629,50,12
