id,paras
AC100_Ddah_f_ddmmyy,236
AC102_Ddah_f_ddmmyy,50
AC103_Ddah_f_ddmmyy,14
AC104_Ddah_f_ddmmyy,111
AC111_Dport_m_ddmmyy,51
AC115_Dport_m_ddmmyy,7
AC118_Dport_f_ddmmyy,0
AC119_Dport_f_ddmmyy,4
AC120_Dport_f_ddmmyy,24
AC121_Dport_f_ddmmyy,11
AC124_Dport_f_ddmmyy,92
AC125_Dport_f_ddmmyy,67
AC12_sp_sex_ddmmyy,3
AC132_HybDportDdah_f_ddmmyy,10
AC133_HybDportDdah_f_ddmmyy,5
AC136_Darm_f_ddmmyy,134
AC137_Darm_f_ddmmyy,421
AC138_Darm_f_ddmmyy,133
AC13_sp_sex_ddmmyy,21
AC140_Darm_f_ddmmyy,1
AC141_Darm_f_ddmmyy,1
AC142_Darm_f_ddmmyy,90
AC143_Darm_f_ddmmyy,2
AC144_Ddah_f_ddmmyy,127
AC14_sp_sex_ddmmyy,20
AC15_sp_sex_ddmmyy,102
AC16_sp_sex_ddmmyy,3
AC186_Dport_f_130923,13
AC18_sp_sex_ddmmyy,33
AC195_Ddah_f_130923,6
AC199_Ddah_f_130923,75
AC19_sp_sex_ddmmyy,14
AC1_sp_sex_ddmmyy,226
AC200_Ddah_f_130923,64
AC202_Dport_m_140923,48
AC204_Dport_m_140923,129
AC206_Dport_m_140923,4
AC207_Dport_m_140923,40
AC209_Dport_m_140923,139
AC20_sp_sex_ddmmyy,7
AC210_Dport_m_140923,17
AC211_Dport_m_140923,54
AC220_Dport_f_140923,34
AC221_Dport_f_14092,16
AC222_Dport_f_140923,9
AC223_Dport_f_140923,47
AC225_Dport_f_140923,1
AC227_Dport_f_140923,15
AC229_Dport_f_140923,2
AC235_Ddah_f_140923,30
AC237_Ddah_f_140923,32
AC238_Ddah_f_140923,225
AC239_Ddah_f_140923,50
AC240_Ddah_f_140923,2
AC241_Ddah_f_140923,31
AC244_HybDportDdah_150923,28
AC245_Dport_m_150923,30
AC246_Dport_m_150923,2
AC247_Dport_m_150923,24
AC248_Darm_f_150923,594
AC249_Darm_f_150923,37
AC24_Darm_f_280523,6
AC250_HybDportDdah_f_150923,5
AC251_HybDportDdah_f_150923,41
AC253_Darm_f_150923,46
AC255_Darm_f_190923,2
AC256_Darm_f_150923,58
AC257_Darm_f_150923,158
AC258_Darm_f_150923,46
AC259_Darm_f_150923,5
AC25_Darm_f_280523,106
AC260_Darm_f_150923,10
AC26_Ddah_f_280523,217
AC27_Dport_m_280523,75
AC29__Ddah_f_280523,19
AC2_sp_sex_ddmmyy,22
AC30_Ddah_f_280523,75
AC31_Darm_f_280523,64
AC32_Ddah_f_280523,345
AC34_Ddah_f_dd0523,231
AC35_Ddah_f_ddmmyy,1
AC36_Darm_f_ddmmyy,22
AC37_Ddah_f_ddmmyy,21
AC38_Ddah_f_ddmmyy,9
AC3_sp_sex_ddmmyy,39
AC40_Ddah_f_ddmmyy,87
AC41_Ddah_f_dd0523,27
AC42_Ddah_f_ddmmyy,6
AC43_Ddah_f_dd0523,91
AC44_Ddah_f_ddmmyy,45
AC46_Ddah_f_ddmmyy,57
AC47_Ddah_f_dd0523,2
AC48_Ddah_f_dd0543,1
AC4_sp_sex_ddmmyy,1
AC50_Dport_m_ddmmyy,8
AC51_Dport_m_ddmmyy,37
AC52_Dport_m_ddmmyy,16
AC53_Dport_m_dd0523,8
AC55_Dport_f_dd0523,11
