id,svl,lc,m,marks,eggs,pore,colour,loc,horm,sp,sex,date,RBC,hcRBC,lysRBC,paras,prop,check_rbc,check_par,check_sum
AC1,62,,2.65,0,,,,amrakits canyon,,D.dahli,f,25042023,3610,367,47,226,0.0531764705882353,,,4250
AC10,63,,2.99,0,,,,amrakits canyon,,D.dahli,f,25042023,,,,,,,,0
AC100,60,84r,3.41,,1,,,amrakits canyon,88.96,D.dahli,f,15062023,1703,28,102,236,0.11406476558724,209,,2278
AC101,67,121,5,2,1,,,amrakits canyon,218.8,D.dahli,f,15062023,,,,,,,,0
AC102,63,105r,4.58,1,1,,,amrakits canyon,67.05,D.dahli,f,15062023,227,78,32,50,0.129198966408269,320,,707
AC103,64,60r,4,1,1,,,amrakits canyon,29,D.dahli,f,15062023,1034,59,120,14,0.0114099429502852,325,,1552
AC104,64,80r,3.87,1,1,,,amrakits canyon,90.41,D.dahli,f,15062023,1411,38,34,111,0.0696361355081556,44,,1638
AC105,58,18r,2.6,,1,,,amrakits canyon,,D.dahli,f,15062023,,,,,,,,0
AC106,53,63r,2.47,,1,,,amrakits canyon,,D.dahli,f,15062023,,,,,,,,0
AC107,64,108,4.09,,1,,,amrakits canyon,,D.dahli,f,15062023,,,,,,,,0
AC108,63,88r,3.65,,,,,amrakits canyon,,D.dahli,f,15062023,,,,,,,,0
AC109,57,35r,3.28,,1,,,amrakits canyon,,D.dahli,f,15062023,,,,,,,,0
AC11,63,,3,0,,,,amrakits canyon,,D.dahli,f,25042023,,,,,,,,0
AC110,61,16r,3.21,1,1,,,amrakits canyon,,D.dahli,f,15062023,,,,,,,,0
AC111,58,88r,3.68,,,1,br,amrakits canyon,246.00,D.portschinskii,m,16062023,326,62,6,51,0.114606741573034,154,,599
AC112,57,28r,3.61,,,1,br,amrakits canyon,358.40,D.portschinskii,m,16062023,,,,,,,,0
AC113,62,88r,4.47,,,1,pale,amrakits canyon,303.60,D.portschinskii,m,16062023,,,,,,,,0
AC114,59,69r,3.94,,,"0,5",br,amrakits canyon,124.20,D.portschinskii,m,16062023,,,,,,,,0
AC115,57,115r,4.06,,,1,br,amrakits canyon,241.90,D.portschinskii,m,16062023,598,9,602,7,0.00575657894736842,989,,2205
AC116,64,93r,5.1,,,"0,5",pale,amrakits canyon,151.40,D.portschinskii,m,16062023,,,,,,,,0
AC117,59,83r,3.42,,,"0,5",pale,amrakits canyon,50.87,D.portschinskii,m,16062023,,,,,,,,0
AC118,67,93r,4.31,5,1,,,amrakits canyon,26,D.portschinskii,f,16062023,1307,9,20,0,0,462,,1798
AC119,57,80r,3.26,3,1,,,amrakits canyon,155.4,D.portschinskii,f,16062023,1926,14,8,4,0.00204918032786885,,-4,1948
AC12,70,,4.86,0,,,,amrakits canyon,,D.armeniaca,f,25042023,1261,37,22,3,0.00226757369614512,127,,1450
AC120,59,112,3.79,3,1,,,amrakits canyon,300,D.portschinskii,f,16062023,1946,9,10,24,0.0120663650075415,,,1989
AC121,59,87r,3.72,3,1,,,amrakits canyon,5.472,D.portschinskii,f,16062023,164,122,29,11,0.0337423312883436,627,,953
AC122,60,90r,3.5,5,1,,,amrakits canyon,56.03,D.portschinskii,f,16062023,,,,,,,,0
AC123,57,108,3.04,2,1,,,amrakits canyon,93.55,D.portschinskii,f,16062023,,,,,,,,0
AC124,64,68r,4.62,3,1,,,amrakits canyon,8.545,D.portschinskii,f,16062023,1281,42,63,92,0.0622462787550744,,,1478
AC125,62,106,3.76,2,1,,,amrakits canyon,19.54,D.portschinskii,f,16062023,2811,14,27,67,0.0229530661185337,,,2919
AC126,58,82r,3.06,2,1,,,amrakits canyon,,D.portschinskii,f,16062023,,,,,,,,0
AC127,54,102,2.67,3,1,,,amrakits canyon,,D.portschinskii,f,16062023,,,,,,,,0
AC128,57,61r,2.79,2,1,,,amrakits canyon,,D.portschinskii,f,16062023,,,,,,,,0
AC129,61,86r,3.51,4,1,,,amrakits canyon,,D.portschinskii,f,16062023,,,,,,,,0
AC13,71,,4.48,0,,,,amrakits canyon,,D.armeniaca,f,25042023,849,97,60,21,0.0204479065238559,,,1027
AC130,53,21r,2.17,2,1,,,amrakits canyon,,D.portschinskii,f,16062023,,,,,,,,0
