id,sp,sex,svl,lc,m,marks,eggs,pore,colour,date,loc
mar1,D.nairensis,m,76,138r,7.86,,,1,br,230523,marmashen
mar2,D.nairensis,m,70,99r,5.92,,,0.5,br,230523,marmashen
mar3,D.nairensis,f,64,110r,4.14,1,0,,,230523,marmashen
shm00,D.valentini,m,67,17r,4.79,,,1,br,230523,sepasar hill
shm4,D.valentini,m,67,102r,5.40,,,1,br,230523,sepasar hill
shm5,D.valentini,m,61,111,5.70,,,1,br,230523,sepasar hill
shm6,D.valentini,f,62,100r,4.05,0,,,,230523,sepasar hill
shm7,D.valentini,f,61,107r,4.26,1,,,,230523,sepasar hill
shm8,D.valentini,f,70,59r,5.60,1,,,br,230523,sepasar hill
shm9,D.valentini,f,72,73r,6.24,1,,,,230523,sepasar hill
shm10,D.valentini,m,66,97r,5.79,,,1,br,230523,sepasar hill
shm11,D.valentini,m,62,123,4.75,,,1,br,230523,sepasar hill
shm12,D.valentini,f,74,99r,6.73,1,,,,230523,sepasar hill
shm13,D.valentini,f,65,22r,4.10,1,,,,230523,sepasar hill
shm14,D.valentini,m,67,70r,4.82,,,1,br,230523,sepasar hill
mar15,D.nairensis,m,73,147r,7.12,,,1,br,230523,marmashen
mar16,D.nairensis,m,70,100r,7.27,,,1,br,230523,marmashen
mar17,D.nairensis,f,66,91r,4.74,0,,,,230523,marmashen
mar18,D.nairensis,m,63,127,4.92,,,,,230523,marmashen
mar19,D.nairensis,f,65,67r,3.55,0,,,,230523,marmashen
mar20,D.nairensis,f,66,15r,4.04,1,,,,230523,marmashen
shm21,D.valentini,m,67,100,6.33,,,1,br,230523,sepasar hill
shm22,D.valentini,m,64,120,6.20,,,1,br,230523,sepasar hill
shm23,D.valentini,f,75,113r,6.75,1,,,,230523,sepasar hill
shm24,D.valentini,f,74,121r,6.85,1,,,,230523,sepasar hill
shm25,D.valentini,f,71,100r,5.75,1,,,,230523,sepasar hill
shm26,D.valentini,f,65,69r,4.75,0,,,,230523,sepasar hill
shm27,D.valentini,m,61,117r,4.88,,,1,br,230523,sepasar hill
shm28,D.valentini,m,62,66r,4.20,,,0.5,pl,230523,sepasar hill
mar29,D.nairensis,m,71,112r,6.16,,,1,br,230523,marmashen
mar30,D.unisexualis,f,70,102,5.53,1,,,,230523,marmashen
