id,sp,sex,date,RBC,hcRBC,lysRBC,paras,sum,prop,timepoint
AC100,D.dahli,f,ddmmyy,1703,28,102,236,2069,0.11406476558724,mmyy
AC102,D.dahli,f,ddmmyy,227,78,32,50,387,0.129198966408269,mmyy
AC103,D.dahli,f,ddmmyy,1034,59,120,14,1227,0.0114099429502852,mmyy
AC104,D.dahli,f,ddmmyy,1411,38,34,111,1594,0.0696361355081556,mmyy
AC111,D.portschinskii,m,ddmmyy,326,62,6,51,445,0.114606741573034,mmyy
AC115,D.portschinskii,m,ddmmyy,598,9,602,7,1216,0.00575657894736842,mmyy
AC118,D.portschinskii,f,ddmmyy,1307,9,20,0,1336,0,mmyy
AC119,D.portschinskii,f,ddmmyy,1926,14,8,4,1952,0.00204918032786885,mmyy
AC120,D.portschinskii,f,ddmmyy,1946,9,10,24,1989,0.0120663650075415,mmyy
AC121,D.portschinskii,f,ddmmyy,164,122,29,11,326,0.0337423312883436,mmyy
AC124,D.portschinskii,f,ddmmyy,1281,42,63,92,1478,0.0622462787550744,mmyy
AC125,D.portschinskii,f,ddmmyy,2811,14,27,67,2919,0.0229530661185337,mmyy
AC12,sp,sex,ddmmyy,1261,37,22,3,1323,0.00226757369614512,mmyy
AC132,DportXDdah,f,ddmmyy,292,3,120,10,425,0.0235294117647059,mmyy
AC133,DportXDdah,f,ddmmyy,1037,6,7,5,1055,0.004739336492891,mmyy
AC136,D.armeniaca,f,ddmmyy,855,10,145,134,1144,0.117132867132867,mmyy
AC137,D.armeniaca,f,ddmmyy,2943,22,17,421,3403,0.123714369673817,mmyy
AC138,D.armeniaca,f,ddmmyy,2562,40,14,133,2749,0.0483812295380138,mmyy
AC13,sp,sex,ddmmyy,849,97,60,21,1027,0.0204479065238559,mmyy
AC140,D.armeniaca,f,ddmmyy,2060,18,62,1,2141,0.000467071461933676,mmyy
AC141,D.armeniaca,f,ddmmyy,2032,273,4,1,2310,0.000432900432900433,mmyy
AC142,D.armeniaca,f,ddmmyy,1186,7,26,90,1309,0.0687547746371276,mmyy
AC143,D.armeniaca,f,ddmmyy,1269,3,26,2,1300,0.00153846153846154,mmyy
AC144,D.dahli,f,ddmmyy,1435,66,36,127,1664,0.0763221153846154,mmyy
AC14,sp,sex,ddmmyy,1537,63,16,20,1636,0.0122249388753056,mmyy
AC15,sp,sex,ddmmyy,3576,99,119,102,3896,0.0261806981519507,mmyy
AC16,sp,sex,ddmmyy,953,182,26,3,1164,0.00257731958762887,mmyy
AC186,D.portschinskii,f,130923,1785,103,14,13,1915,0.00678851174934726,0923
AC18,sp,sex,ddmmyy,1467,255,22,33,1777,0.0185706246482836,mmyy
AC195,D.dahli,f,130923,170,13,30,6,219,0.0273972602739726,0923
AC199,D.dahli,f,130923,2708,110,115,75,3008,0.0249335106382979,0923
AC19,sp,sex,ddmmyy,1893,47,19,14,1973,0.00709579320831222,mmyy
AC1,sp,sex,ddmmyy,3610,367,47,226,4250,0.0531764705882353,mmyy
AC200,D.dahli,f,130923,1945,134,39,64,2182,0.0293308890925756,0923
AC202,D.portschinskii,m,140923,1056,152,25,48,1281,0.0374707259953162,0923
AC204,D.portschinskii,m,140923,3977,92,17,129,4215,0.0306049822064057,0923
AC206,D.portschinskii,m,140923,1998,72,27,4,2101,0.00190385530699667,0923
AC207,D.portschinskii,m,140923,1113,95,12,40,1260,0.0317460317460317,0923
AC209,D.portschinskii,m,140923,2281,216,38,139,2674,0.0519820493642483,0923
AC20,sp,sex,ddmmyy,1679,32,46,7,1764,0.00396825396825397,mmyy
AC210,D.portschinskii,m,140923,3688,409,8,17,4122,0.00412421154779233,0923
AC211,D.portschinskii,m,140923,2437,271,12,54,2774,0.0194664744051911,0923
AC220,D.portschinskii,f,140923,6358,351,5,34,6748,0.0050385299347955,0923
AC221,D.portschinskii,f,14092,1186,326,6,16,1534,0.0104302477183833,92
AC222,D.portschinskii,f,140923,4252,74,10,9,4345,0.00207134637514384,0923
AC223,D.portschinskii,f,140923,5215,219,2,47,5483,0.00857194966259347,0923
AC225,D.portschinskii,f,140923,1313,21,20,1,1355,0.000738007380073801,0923
AC227,D.portschinskii,f,140923,2745,148,11,15,2919,0.00513874614594039,0923
AC229,D.portschinskii,f,140923,3124,101,4,2,3231,0.000619003404518725,0923
AC235,D.dahli,f,140923,4658,348,11,30,5047,0.0059441252229047,0923
AC237,D.dahli,f,140923,3211,282,2,32,3527,0.00907286645874681,0923
AC238,D.dahli,f,140923,2627,154,7,225,3013,0.0746764022568868,0923
AC239,D.dahli,f,140923,2771,163,15,50,2999,0.0166722240746916,0923
AC240,D.dahli,f,140923,2179,84,415,2,2680,0.000746268656716418,0923
AC241,D.dahli,f,140923,4448,88,9,31,4576,0.00677447552447552,0923
AC244,DportXDdah,150923,NA,4337,50,7,28,4422,0.00633197648123021,NA
AC245,D.portschinskii,m,150923,935,48,39,30,1052,0.0285171102661597,0923
AC246,D.portschinskii,m,150923,1063,82,53,2,1200,0.00166666666666667,0923
AC247,D.portschinskii,m,150923,1597,39,11,24,1671,0.0143626570915619,0923
AC248,D.armeniaca,f,150923,2653,30,19,594,3296,0.180218446601942,0923
AC249,D.armeniaca,f,150923,688,16,30,37,771,0.0479896238651102,0923
AC24,D.armeniaca,f,280523,960,131,51,6,1148,0.00522648083623693,0523
AC250,DportXDdah,f,150923,3843,196,16,5,4060,0.00123152709359606,0923
AC251,DportXDdah,f,150923,3664,77,22,41,3804,0.0107781282860147,0923
AC253,D.armeniaca,f,150923,2995,257,125,46,3423,0.0134385042360502,0923
AC255,D.armeniaca,f,190923,1850,235,4,2,2091,0.000956480153036825,0923
AC256,D.armeniaca,f,150923,3453,183,6,58,3700,0.0156756756756757,0923
AC257,D.armeniaca,f,150923,901,252,9,158,1320,0.11969696969697,0923
AC258,D.armeniaca,f,150923,3129,218,17,46,3410,0.0134897360703812,0923
AC259,D.armeniaca,f,150923,1568,185,26,5,1784,0.00280269058295964,0923
AC25,D.armeniaca,f,280523,3875,235,6,106,4222,0.025106584557082,0523
AC260,D.armeniaca,f,150923,744,86,45,10,885,0.0112994350282486,0923
AC26,D.dahli,f,280523,2825,499,10,217,3551,0.0611095466065897,0523
AC27,D.portschinskii,m,280523,3692,81,39,75,3887,0.0192950861847183,0523
AC29,D.dahli,f,280523,830,195,57,19,1101,0.0172570390554042,0523
AC2,sp,sex,ddmmyy,1513,58,11,22,1604,0.013715710723192,mmyy
AC30,D.dahli,f,280523,1468,222,4,75,1769,0.0423968343697004,0523
AC31,D.armeniaca,f,280523,1511,334,18,64,1927,0.0332122470160872,0523
AC32,D.dahli,f,280523,3184,307,616,345,4452,0.0774932614555256,0523
AC34,D.dahli,f,dd0523,1332,73,17,231,1653,0.139745916515427,0523
AC35,D.dahli,f,ddmmyy,2831,564,20,1,3416,0.000292740046838407,mmyy
AC36,D.armeniaca,f,ddmmyy,3715,171,8,22,3916,0.00561797752808989,mmyy
AC37,D.dahli,f,ddmmyy,1264,102,19,21,1406,0.0149359886201991,mmyy
AC38,D.dahli,f,ddmmyy,757,148,6,9,920,0.00978260869565217,mmyy
AC3,sp,sex,ddmmyy,468,28,26,39,561,0.0695187165775401,mmyy
AC40,D.dahli,f,ddmmyy,3021,295,78,87,3481,0.0249928181557024,mmyy
AC41,D.dahli,f,dd0523,2139,39,6,27,2211,0.0122116689280868,0523
AC42,D.dahli,f,ddmmyy,1963,245,36,6,2250,0.00266666666666667,mmyy
AC43,D.dahli,f,dd0523,3424,330,15,91,3860,0.0235751295336788,0523
AC44,D.dahli,f,ddmmyy,3854,251,15,45,4165,0.0108043217286915,mmyy
AC46,D.dahli,f,ddmmyy,1249,210,23,57,1539,0.037037037037037,mmyy
AC47,D.dahli,f,dd0523,2199,333,11,2,2545,0.000785854616895874,0523
AC48,D.dahli,f,dd0543,2391,113,23,1,2528,0.000395569620253165,543
AC4,sp,sex,ddmmyy,1817,224,70,1,2112,0.000473484848484848,mmyy
AC50,D.portschinskii,m,ddmmyy,3581,23,5,8,3617,0.00221177771633951,mmyy
AC51,D.portschinskii,m,ddmmyy,1325,315,12,37,1689,0.0219064535227946,mmyy
AC52,D.portschinskii,m,ddmmyy,2629,50,12,16,2707,0.00591060214259328,mmyy
AC53,D.portschinskii,m,dd0523,1873,40,11,8,1932,0.0041407867494824,0523
AC55,D.portschinskii,f,dd0523,1350,157,7,11,1525,0.00721311475409836,0523
AC56,D.armeniaca,f,dd0523,1473,23,21,9,1526,0.00589777195281782,0523
AC57,D.armeniaca,f,dd0523,865,116,40,132,1153,0.11448395490026,0523
AC58,D.armeniaca,f,dd0523,1179,75,40,4,1298,0.00308166409861325,0523
AC59,D.armeniaca,f,ddmmyy,1750,51,18,338,2157,0.156699119146963,mmyy
AC5,sp,sex,ddmmyy,1600,148,7,0,1755,0,mmyy
AC60,D.armeniaca,f,dd0523,2998,206,42,202,3448,0.058584686774942,0523
AC61,D.armeniaca,f,dd0623,1494,39,20,86,1639,0.0524710189139719,0623
AC62,D.armeniaca,f,ddmmyy,2188,86,18,8,2300,0.00347826086956522,mmyy
AC63,D.armeniaca,f,ddmmyy,2030,321,46,0,2397,0,mmyy
AC64,D.armeniaca,f,dd0523,1690,67,6,20,1783,0.0112170499158721,0523
AC65,D.armeniaca,f,dd0623,4216,133,48,9,4406,0.00204266908760781,0623
AC66,D.armeniaca,f,dd0623,2877,214,47,156,3294,0.0473588342440801,0623
AC67,D.armeniaca,f,dd0623,2055,141,4,31,2231,0.0138951142985208,0623
AC6,sp,sex,ddmmyy,1287,178,15,19,1499,0.0126751167444963,mmyy
AC70,D.portschinskii,f,ddmmyy,2592,246,27,30,2895,0.0103626943005181,mmyy
AC71,D.armeniaca,f,ddmmyy,1794,216,44,1,2055,0.00048661800486618,mmyy
AC72,D.portschinskii,m,ddmmyy,4385,114,18,107,4624,0.0231401384083045,mmyy
AC73,D.portschinskii,m,ddmmyy,3541,166,23,14,3744,0.00373931623931624,mmyy
AC74,D.portschinskii,f,dd0523,709,43,45,40,837,0.0477897252090801,0523
AC75,D.portschinskii,f,ddmmyy,1463,3,63,11,1540,0.00714285714285714,mmyy
AC76,D.portschinskii,f,ddmmyy,1114,23,3,11,1151,0.00955690703735882,mmyy
AC79,D.portschinskii,f,ddmmyy,3002,115,2,8,3127,0.00255836264790534,mmyy
AC7,sp,sex,ddmmyy,550,186,11,200,947,0.211193241816262,mmyy
AC82,D.portschinskii,m,ddmmyy,2239,3,5,6,2253,0.00266311584553928,mmyy
AC84,D.portschinskii,f,ddmmyy,1308,20,4,4,1336,0.0029940119760479,mmyy
AC85,D.portschinskii,m,ddmmyy,1820,14,13,83,1930,0.0430051813471503,mmyy
AC86,D.portschinskii,m,ddmmyy,1442,23,40,23,1528,0.0150523560209424,mmyy
AC87,D.portschinskii,m,ddmmyy,2093,27,28,7,2155,0.00324825986078886,mmyy
AC88,D.portschinskii,m,ddmmyy,340,80,111,4,535,0.00747663551401869,mmyy
AC89,D.portschinskii,f,ddmmyy,1550,40,15,43,1648,0.0260922330097087,mmyy
AC8,sp,sex,ddmmyy,1644,100,21,0,1765,0,mmyy
AC91,D.armeniaca,f,ddmmyy,1510,31,32,67,1640,0.0408536585365854,mmyy
AC92,D.armeniaca,f,ddmmyy,609,13,181,139,942,0.14755838641189,mmyy
AC93,D.armeniaca,f,ddmmyy,2711,70,38,2,2821,0.000708968450903935,mmyy
AC94,D.armeniaca,f,ddmmyy,1421,17,85,266,1789,0.148686416992733,mmyy
AC95,D.armeniaca,f,ddmmyy,1020,34,59,106,1219,0.0869565217391304,mmyy
AC97,D.armeniaca,f,ddmmyy,1686,9,9,52,1756,0.0296127562642369,mmyy
AC98,D.dahli,f,ddmmyy,1207,92,9,417,1725,0.241739130434783,mmyy
AC99,D.dahli,f,ddmmyy,693,77,33,19,822,0.0231143552311436,mmyy
ACN1341,D.portschinskii,f,dd0523,1258,57,51,1,1367,0.000731528895391368,0523
ACN1342,D.portschinskii,f,dd0523,3362,161,11,7,3541,0.00197684269980232,0523
ACN1343,D.portschinskii,f,dd0523,2425,61,3,6,2495,0.00240480961923848,0523
ACN1354,D.portschinskii,f,dd0523,1736,62,18,8,1824,0.0043859649122807,0523
ACN2344,D.portschinskii,m,ddmmyy,2341,54,10,32,2437,0.0131308986458761,mmyy
ACN3002,D.portschinskii,f,ddmmyy,1350,60,37,0,1447,0,mmyy
ACN5013,D.portschinskii,m,ddmmyy,1989,80,18,38,2125,0.0178823529411765,mmyy
ACN5014,D.dahli,f,ddmmyy,1195,94,6,7,1302,0.00537634408602151,mmyy
ACN5015,D.dahli,f,ddmmyy,1415,43,17,71,1546,0.0459249676584735,mmyy
ACN5021,D.dahli,f,ddmmyy,1098,19,12,96,1225,0.0783673469387755,mmyy
ACN5022,D.dahli,f,ddmmyy,3975,83,27,198,4283,0.0462292785430773,mmyy
ACN5023,D.dahli,f,ddmmyy,692,33,31,14,770,0.0181818181818182,mmyy
ACN5024,D.dahli,f,ddmmyy,656,136,14,12,818,0.0146699266503667,mmyy
ACN5520,D.dahli,f,ddmmyy,231,5,4,8,248,0.032258064516129,mmyy
SH2,D.valentini,f,260522,1281,39,32,2,1354,0.00147710487444609,0522
ASH1000,D.valentini,f,dd0623,1786,280,16,2,2084,0.000959692898272553,0623
ASH1005,D.valentini,m,80722,5371,141,35,9,5556,0.00161987041036717,0722
ASH1005,D.valentini,m,dd0623,569,106,15,0,690,0,0623
